fips,total_deaths,covid_deaths,urban_rural_desc,pct_covid_deaths,county,state
37071,4938,675,Large fringe metro,0.13669501822600244,Gaston,North Carolina
37081,11775,1368,Medium metro,0.11617834394904458,Guilford,North Carolina
37083,1119,131,Micropolitan,0.11706881143878463,Halifax,North Carolina
37085,1829,201,Micropolitan,0.10989611809732094,Harnett,North Carolina
37087,1359,132,Medium metro,0.09713024282560706,Haywood,North Carolina
37089,2966,293,Medium metro,0.09878624409979771,Henderson,North Carolina
37091,563,102,Noncore,0.1811722912966252,Hertford,North Carolina
37097,3281,412,Large fringe metro,0.12557147211216094,Iredell,North Carolina
37101,2884,242,Large fringe metro,0.0839112343966713,Johnston,North Carolina
37107,1277,189,Micropolitan,0.1480031323414252,Lenoir,North Carolina
37109,1259,148,Large fringe metro,0.11755361397934869,Lincoln,North Carolina
37119,16800,2080,Large central metro,0.12380952380952381,Mecklenburg,North Carolina
37125,3143,508,Micropolitan,0.16162901686286987,Moore,North Carolina
37127,2080,253,Small metro,0.12163461538461538,Nash,North Carolina
37129,6178,576,Medium metro,0.09323405632890903,New Hanover,North Carolina
37133,1965,219,Small metro,0.11145038167938931,Onslow,North Carolina
37135,2984,397,Medium metro,0.13304289544235925,Orange,North Carolina
37139,1113,173,Micropolitan,0.1554357592093441,Pasquotank,North Carolina
37147,5095,576,Small metro,0.11305201177625122,Pitt,North Carolina
37151,2552,188,Medium metro,0.07366771159874608,Randolph,North Carolina
37153,977,124,Micropolitan,0.1269191402251791,Richmond,North Carolina
37155,2647,297,Micropolitan,0.11220249338874197,Robeson,North Carolina
37157,2177,163,Medium metro,0.07487367937528709,Rockingham,North Carolina
37159,3174,463,Large fringe metro,0.14587271581600503,Rowan,North Carolina
37161,1539,225,Micropolitan,0.14619883040935672,Rutherford,North Carolina
37165,1075,220,Micropolitan,0.20465116279069767,Scotland,North Carolina
37167,1076,105,Micropolitan,0.09758364312267657,Stanly,North Carolina
37171,2023,295,Micropolitan,0.1458230350963915,Surry,North Carolina
37179,2924,381,Large fringe metro,0.13030095759233926,Union,North Carolina
37181,1034,143,Micropolitan,0.13829787234042554,Vance,North Carolina
37183,13336,1406,Large central metro,0.10542891421715657,Wake,North Carolina
37191,3027,372,Small metro,0.12289395441030723,Wayne,North Carolina
37193,1323,154,Micropolitan,0.1164021164021164,Wilkes,North Carolina
37195,1681,234,Micropolitan,0.13920285544318858,Wilson,North Carolina
38015,2551,419,Small metro,0.16424931399451195,Burleigh,North Dakota
38017,4585,766,Small metro,0.16706652126499455,Cass,North Dakota
38035,1385,166,Small metro,0.11985559566787003,Grand Forks,North Dakota
38101,1539,273,Micropolitan,0.17738791423001948,Ward,North Dakota
31019,1120,168,Micropolitan,0.15,Buffalo,Nebraska
31055,11443,1314,Medium metro,0.11483002709079787,Douglas,Nebraska
31079,1250,177,Small metro,0.1416,Hall,Nebraska
31109,6099,617,Medium metro,0.10116412526643712,Lancaster,Nebraska
