fips,log_poverty_rating,county,state
6019,5.3029215657226745,Fresno,California
6021,3.531095546870028,Glenn,California
6023,4.400296167695898,Humboldt,California
6025,4.580012112529424,Imperial,California
6027,3.3161800988934527,Inyo,California
6029,5.217002004845443,Kern,California
6031,4.339252634032699,Kings,California
6033,4.065280871102755,Lake,California
6035,3.578524605274993,Lassen,California
6037,6.120324469257053,Los Angeles,California
6039,4.420104340950183,Madera,California
6041,4.2394746634651845,Marin,California
6043,3.409087369447835,Mariposa,California
6045,4.078456818053293,Mendocino,California
6047,4.662861672294625,Merced,California
6049,3.244771761495295,Modoc,California
6051,3.157456768134226,Mono,California
6053,4.720026926819729,Monterey,California
6055,3.995503570265006,Napa,California
6057,3.966986025117938,Nevada,California
6059,5.473717559352632,Orange,California
6061,4.417803722639881,Placer,California
6063,3.385963570600697,Plumas,California
6065,5.439258462611598,Riverside,California
6067,5.2855415571087825,Sacramento,California
6069,3.8141143561291253,San Benito,California
6071,5.4538669782835685,San Bernardino,California
6073,5.52508888244913,San Diego,California
6075,4.91706416401286,San Francisco,California
6077,5.007628309256807,San Joaquin,California
6079,4.493876110852823,San Luis Obispo,California
6081,4.665843551925318,San Mateo,California
6083,4.710100433223009,Santa Barbara,California
6085,5.0659567113500925,Santa Clara,California
6087,4.439821986424003,Santa Cruz,California
6089,4.3712156820423615,Shasta,California
6091,2.574031267727719,Sierra,California
6093,3.8741337788279724,Siskiyou,California
6095,4.591265004391542,Solano,California
6097,4.5410547788827005,Sonoma,California
6099,4.849671194740993,Stanislaus,California
6101,4.090258052931317,Sutter,California
6103,4.020527012274563,Tehama,California
6105,3.2979792441593623,Trinity,California
6107,4.939219635854818,Tulare,California
6109,3.7620029693751156,Tuolumne,California
6111,4.835576435318049,Ventura,California
6113,4.551547581274466,Yolo,California
6115,4.069963937850763,Yuba,California
8001,4.6763643353293975,Adams,Colorado
8003,3.479863113023098,Alamosa,Colorado
8005,4.672762651047436,Arapahoe,Colorado
8007,3.17666993266815,Archuleta,Colorado
8009,2.829303772831025,Baca,Colorado
8011,3.1316186643491255,Bent,Colorado
8013,4.531031618926746,Boulder,Colorado
8014,3.457124626303409,Broomfield,Colorado
8015,3.315970345456918,Chaffee,Colorado
8017,2.385606273598312,Cheyenne,Colorado
8019,2.8506462351830666,Clear Creek,Colorado
8021,3.2105860249051563,Conejos,Colorado
8023,2.9800033715837464,Costilla,Colorado
8025,3.0965624383741357,Crowley,Colorado
8027,2.7611758131557314,Custer,Colorado
8029,3.6629466143326246,Delta,Colorado
8031,4.934599438218073,Denver,Colorado
8033,2.4183012913197452,Dolores,Colorado
8035,3.9832653525665456,Douglas,Colorado
8037,3.6399842480415887,Eagle,Colorado
8039,3.180125875164054,Elbert,Colorado
8041,4.790228849914659,El Paso,Colorado
8043,3.8035253955765325,Fremont,Colorado
8045,3.7554174628109362,Garfield,Colorado
8047,2.6242820958356683,Gilpin,Colorado
8049,3.104145550554008,Grand,Colorado
8051,3.2833012287035497,Gunnison,Colorado
8053,1.8573324964312685,Hinsdale,Colorado
8055,3.1300119496719043,Huerfano,Colorado
8057,2.2430380486862944,Jackson,Colorado
8059,4.615508171528163,Jefferson,Colorado
8061,2.27415784926368,Kiowa,Colorado
8063,2.967079734144497,Kit Carson,Colorado
8065,2.960470777534299,Lake,Colorado
8067,3.787247880331954,La Plata,Colorado
8069,4.555021858476152,Larimer,Colorado
8071,3.38147609027503,Las Animas,Colorado
8073,2.8992731873176036,Lincoln,Colorado
8075,3.378216149749878,Logan,Colorado
8077,4.226342087163631,Mesa,Colorado
8079,1.8573324964312685,Mineral,Colorado
8081,3.207095540419218,Moffat,Colorado
8083,3.5861370252307934,Montezuma,Colorado
8085,3.745465168670727,Montrose,Colorado
8087,3.5296869537729165,Morgan,Colorado
8089,3.633165353683903,Otero,Colorado
8091,2.534026106056135,Ouray,Colorado
8093,3.204662511748219,Park,Colorado
8095,2.6384892569546374,Phillips,Colorado
8097,3.0409976924234905,Pitkin,Colorado
8099,3.334252642334231,Prowers,Colorado
8101,4.465189458112298,Pueblo,Colorado
8103,2.795184589682424,Rio Blanco,Colorado
8105,3.2016701796465816,Rio Grande,Colorado
8107,3.2600713879850747,Routt,Colorado
8109,3.237040791379191,Saguache,Colorado
8111,1.99563519459755,San Juan,Colorado
8113,2.905256048748451,San Miguel,Colorado
8115,2.509202522331103,Sedgwick,Colorado
8117,3.292920299600006,Summit,Colorado
8119,3.298853076409707,Teller,Colorado
8121,2.7450747915820575,Washington,Colorado
8123,4.424015449821989,Weld,Colorado
8125,3.098643725817057,Yuma,Colorado
9001,4.919323948563714,Fairfield,Connecticut
9003,4.971711780318685,Hartford,Connecticut
9005,4.1052035157103415,Litchfield,Connecticut
9007,4.04233920456355,Middlesex,Connecticut
9009,4.997486863447809,New Haven,Connecticut
9011,4.295325147042704,New London,Connecticut
9013,4.023622789879007,Tolland,Connecticut
9015,4.109713504792951,Windham,Connecticut
10001,4.346255149361386,Kent,Delaware
10003,4.750423533287319,New Castle,Delaware
10005,4.443137767395288,Sussex,Delaware
11001,4.977655027061703,District of Columbia,District of Columbia
12001,4.671320977612709,Alachua,Florida
12003,3.5926208213219826,Baker,Florida
12005,4.314772812566055,Bay,Florida
12007,3.699924402742477,Bradford,Florida
12009,4.744902914435022,Brevard,Florida
12011,5.375638012689486,Broward,Florida
12013,3.399327532158679,Calhoun,Florida
12015,4.32608996426356,Charlotte,Florida
12017,4.3481295518692145,Citrus,Florida
12019,4.257558587444218,Clay,Florida
12021,4.555433042054658,Collier,Florida
12023,4.0144365278316725,Columbia,Florida
12027,3.882296800937652,DeSoto,Florida
12029,3.5234863323432277,Dixie,Florida
12031,5.103677175782494,Duval,Florida
12033,4.667630370305125,Escambia,Florida
12035,4.0433229735745755,Flagler,Florida
12037,3.299942900022767,Franklin,Florida
12039,3.9279859470994287,Gadsden,Florida
12041,3.4151403521958725,Gilchrist,Florida
12043,3.3760291817281805,Glades,Florida
12045,3.2667019668840878,Gulf,Florida
12047,3.5790973265526436,Hamilton,Florida
12049,3.7492724082984203,Hardee,Florida
12051,3.9077337369976552,Hendry,Florida
12053,4.376193586884285,Hernando,Florida
12055,4.217983753176437,Highlands,Florida
12057,5.291555317248284,Hillsborough,Florida
12059,3.5547313766759667,Holmes,Florida
12061,4.25956998964356,Indian River,Florida
12063,3.890365121448124,Jackson,Florida
12065,3.3571722577230334,Jefferson,Florida
12067,3.110252917353403,Lafayette,Florida
12069,4.5957056026935375,Lake,Florida
12071,4.930923573535,Lee,Florida
12073,4.7649453703864415,Leon,Florida
12075,3.8726223790252883,Levy,Florida
12077,3.1622656142980214,Liberty,Florida
12079,3.571941635074462,Madison,Florida
12081,4.653125646191915,Manatee,Florida
12083,4.723865964443504,Marion,Florida
12085,4.146128035678238,Martin,Florida
12086,5.62227206321903,Miami-Dade,Florida
12087,3.8596785766284483,Monroe,Florida
12089,3.9004217534577377,Nassau,Florida
12091,4.33976934376873,Okaloosa,Florida
12093,3.8566684836115352,Okeechobee,Florida
12095,5.234514752651688,Orange,Florida
12097,4.697255504289915,Osceola,Florida
12099,5.225376488766699,Palm Beach,Florida
12101,4.790397770368715,Pasco,Florida
12103,5.037219262145962,Pinellas,Florida
12105,4.998215732370959,Polk,Florida
12107,4.212666928793423,Putnam,Florida
12109,4.2260583104271126,St. Johns,Florida
12111,4.531581091959066,St. Lucie,Florida
12113,4.241421951711995,Santa Rosa,Florida
12115,4.520404920290237,Sarasota,Florida
12117,4.640888707588621,Seminole,Florida
12119,4.044461360810665,Sumter,Florida
12121,3.85394144588049,Suwannee,Florida
12123,3.5788683286660286,Taylor,Florida
12125,3.31492005599242,Union,Florida
12127,4.848521640750647,Volusia,Florida
12129,3.5624118329497274,Wakulla,Florida
12131,3.8887409606828927,Walton,Florida
12133,3.6615287401319825,Washington,Florida
13001,3.5725230978496376,Appling,Georgia
13003,3.2757719001649312,Atkinson,Georgia
13005,3.3180633349627615,Bacon,Georgia
13007,2.8744818176994666,Baker,Georgia
13009,3.9510459481358198,Baldwin,Georgia
13011,3.3898745583909853,Banks,Georgia
13013,3.9042285163400785,Barrow,Georgia
13015,4.121986379050838,Bartow,Georgia
13017,3.572639297042813,Ben Hill,Georgia
13019,3.584670384464349,Berrien,Georgia
13021,4.530353403560165,Bibb,Georgia
13023,3.3246939138617746,Bleckley,Georgia
13025,3.485153349903652,Brantley,Georgia
13027,3.527887565952705,Brooks,Georgia
13029,3.4875625602563782,Bryan,Georgia
13031,4.202624523578978,Bulloch,Georgia
13033,3.7157527168228595,Burke,Georgia
13035,3.50745106090197,Butts,Georgia
13037,3.2062860444124324,Calhoun,Georgia
13039,3.8584770418133405,Camden,Georgia
13043,3.385069776331935,Candler,Georgia
13045,4.234213474838595,Carroll,Georgia
13047,3.82633400562222,Catoosa,Georgia
13049,3.447778009294621,Charlton,Georgia
13051,4.608151480313872,Chatham,Georgia
13053,3.1894903136993675,Chattahoochee,Georgia
13055,3.6111920608684343,Chattooga,Georgia
13057,4.223366126439861,Cherokee,Georgia
13059,4.481112840841518,Clarke,Georgia
13061,2.9014583213961123,Clay,Georgia
13063,4.659488347116727,Clayton,Georgia
13065,3.156851901070011,Clinch,Georgia
13067,4.794313736208544,Cobb,Georgia
13069,3.9056879677118523,Coffee,Georgia
13071,3.9884697702098757,Colquitt,Georgia
13073,3.9418591265253737,Columbia,Georgia
13075,3.562768543016519,Cook,Georgia
13077,4.124439010556526,Coweta,Georgia
13079,3.2730012720637376,Crawford,Georgia
13081,3.765668554759014,Crisp,Georgia
13083,3.3092041796704077,Dade,Georgia
13085,3.3554515201265174,Dawson,Georgia
13087,3.771954748963949,Decatur,Georgia
13089,4.981388175213667,DeKalb,Georgia
13091,3.5857990090130007,Dodge,Georgia
13093,3.5100085129402347,Dooly,Georgia
13095,4.365338202346941,Dougherty,Georgia
13097,4.199810008953807,Douglas,Georgia
13099,3.436639631692661,Early,Georgia
13101,2.935003151453655,Echols,Georgia
13103,3.7622282842864743,Effingham,Georgia
13105,3.5907304057926903,Elbert,Georgia
13107,3.647480773173676,Emanuel,Georgia
13109,3.390758528738717,Evans,Georgia
13111,3.4974825373673704,Fannin,Georgia
13113,3.7856856682809013,Fayette,Georgia
13115,4.191367165737557,Floyd,Georgia
13117,4.04233920456355,Forsyth,Georgia
13119,3.5896145406312665,Franklin,Georgia
13121,5.152224112984703,Fulton,Georgia
13123,3.657342736814626,Gilmer,Georgia
13125,2.6866362692622934,Glascock,Georgia
13127,4.11203495117343,Glynn,Georgia
13129,3.8451600776519457,Gordon,Georgia
13131,3.7223047868743278,Grady,Georgia
13133,3.4328090050331683,Greene,Georgia
13135,4.933537901971705,Gwinnett,Georgia
13137,3.8139144200486035,Habersham,Georgia
13139,4.4335618346479615,Hall,Georgia
13141,3.3473300153169503,Hancock,Georgia
13143,3.625621081424908,Haralson,Georgia
13145,3.3560258571931225,Harris,Georgia
13147,3.570192561095726,Hart,Georgia
13149,3.291812687467119,Heard,Georgia
13151,4.2745965422569965,Henry,Georgia
13153,4.23246243853121,Houston,Georgia
13155,3.230193378869046,Irwin,Georgia
13157,3.870286828992591,Jackson,Georgia
13159,3.2425414282983844,Jasper,Georgia
13161,3.5009222391903005,Jeff Davis,Georgia
13163,3.569373909615046,Jefferson,Georgia
13165,3.3348556896172914,Jenkins,Georgia
13167,3.285782273779395,Johnson,Georgia
13169,3.5597869682005565,Jones,Georgia
13171,3.421768401206924,Lamar,Georgia
13173,3.27207378750001,Lanier,Georgia
13175,4.0433229735745755,Laurens,Georgia
13177,3.433769833924866,Lee,Georgia
13179,3.938519725176492,Liberty,Georgia
13181,3.132579847659737,Lincoln,Georgia
13183,3.435525851498655,Long,Georgia
13185,4.355738783602035,Lowndes,Georgia
13187,3.646599751720373,Lumpkin,Georgia
13189,3.5788683286660286,McDuffie,Georgia
13191,3.426673888021373,McIntosh,Georgia
13193,3.511749711344983,Macon,Georgia
13195,3.6635124704151556,Madison,Georgia
13197,3.241795431295199,Marion,Georgia
13199,3.6659560294539566,Meriwether,Georgia
13201,3.076640443670342,Miller,Georgia
13205,3.78161178249315,Mitchell,Georgia
13207,3.445136968713304,Monroe,Georgia
13209,3.2092468487533736,Montgomery,Georgia
13211,3.3240765797394864,Morgan,Georgia
13213,3.760045327965811,Murray,Georgia
13215,4.540254374151109,Muscogee,Georgia
13217,4.091596620810058,Newton,Georgia
13219,3.3494717992143856,Oconee,Georgia
13221,3.2837533833325265,Oglethorpe,Georgia
13223,4.05922251252969,Paulding,Georgia
13225,3.7162538258960365,Peach,Georgia
13227,3.5220528008688223,Pickens,Georgia
13229,3.4992745818922173,Pierce,Georgia
13231,3.2081725266671217,Pike,Georgia
13233,3.833529581758644,Polk,Georgia
13235,3.3113299523037933,Pulaski,Georgia
13237,3.520614521878236,Putnam,Georgia
13239,2.718501688867274,Quitman,Georgia
13241,3.3386556655787003,Rabun,Georgia
13243,3.2135177569963047,Randolph,Georgia
13245,4.61364100671677,Richmond,Georgia
13247,4.036349388031838,Rockdale,Georgia
13249,2.921166050637739,Schley,Georgia
13251,3.510410948010177,Screven,Georgia
13253,3.2571984261393445,Seminole,Georgia
13255,4.062092892630169,Spalding,Georgia
13257,3.5790973265526436,Stephens,Georgia
13259,3.230959555748569,Stewart,Georgia
13261,3.870403905279027,Sumter,Georgia
13263,3.0827853703164503,Talbot,Georgia
13265,2.537819095073274,Taliaferro,Georgia
13267,3.7409150764812824,Tattnall,Georgia
13269,3.2576785748691846,Taylor,Georgia
13271,3.5460488664017342,Telfair,Georgia
13273,3.3664229572259727,Terrell,Georgia
13275,3.8972971220594967,Thomas,Georgia
13277,3.9232440186302764,Tift,Georgia
13279,3.7063763558396903,Toombs,Georgia
13281,3.1386184338994925,Towns,Georgia
13283,3.3102683666324477,Treutlen,Georgia
13285,4.114243913688907,Troup,Georgia
13287,3.3287872003545345,Turner,Georgia
13289,3.182414652434554,Twiggs,Georgia
13291,3.4471580313422194,Union,Georgia
13293,3.693023067923694,Upson,Georgia
13295,4.001474096691733,Walker,Georgia
13297,4.003029470553618,Walton,Georgia
13299,3.9416108021536336,Ware,Georgia
13301,3.137354111370733,Warren,Georgia
13303,3.595496221825574,Washington,Georgia
13305,3.7089305358066165,Wayne,Georgia
13307,2.678518379040114,Webster,Georgia
13309,3.26030994579492,Wheeler,Georgia
13311,3.513084360465144,White,Georgia
13313,4.1176026916900845,Whitfield,Georgia
13315,3.2990712600274095,Wilcox,Georgia
13317,3.2730012720637376,Wilkes,Georgia
13319,3.1734776434529945,Wilkinson,Georgia
13321,3.608632989490037,Worth,Georgia
15001,4.416157689632185,Hawaii,Hawaii
15003,4.870883588353561,Honolulu,Hawaii
15007,3.8234090148925444,Kauai,Hawaii
15009,4.246449338267045,Maui,Hawaii
16001,4.643679634742805,Ada,Idaho
16003,2.7315887651867388,Adams,Idaho
16005,4.062732363205394,Bannock,Idaho
16007,2.8555191556678,Bear Lake,Idaho
16009,3.150756439860309,Benewah,Idaho
16011,3.7113853790984517,Bingham,Idaho
16013,3.219322508419337,Blaine,Idaho
16015,2.9537596917332287,Boise,Idaho
16017,3.7550359337677714,Bonner,Idaho
16019,4.03953308766939,Bonneville,Idaho
16021,3.2538224387080734,Boundary,Idaho
16023,2.575187844927661,Butte,Idaho
16025,1.99563519459755,Camas,Idaho
16027,4.35846786387692,Canyon,Idaho
16029,2.8561244442423,Caribou,Idaho
16031,3.4537768596904423,Cassia,Idaho
16033,2.0863598306747484,Clark,Idaho
16035,3.0342272607705505,Clearwater,Idaho
16037,2.7450747915820575,Custer,Idaho
16039,3.5749567757645067,Elmore,Idaho
16041,3.0499928569201424,Franklin,Idaho
16043,3.2035767749779724,Fremont,Idaho
16045,3.3552599055273786,Gem,Idaho
16047,3.358886204405869,Gooding,Idaho
16049,3.347720217034038,Idaho,Idaho
16051,3.4350476413399647,Jefferson,Idaho
16053,3.535167485114944,Jerome,Idaho
16055,4.21415478605354,Kootenai,Idaho
16057,3.638788667157398,Latah,Idaho
16059,3.0293837776852097,Lemhi,Idaho
16061,2.7007037171450192,Lewis,Idaho
16063,2.77232170672292,Lincoln,Idaho
16065,4.030640194868632,Madison,Idaho
16067,3.373095987078727,Minidoka,Idaho
16069,3.6406801532776654,Nez Perce,Idaho
16071,2.705007959333336,Oneida,Idaho
16073,3.239549720840473,Owyhee,Idaho
16075,3.417471693203293,Payette,Idaho
16077,2.999130541287371,Power,Idaho
16079,3.3848907965305544,Shoshone,Idaho
16081,2.9689496809813427,Teton,Idaho
16083,3.9740509027928774,Twin Falls,Idaho
