state,county,fips,total_votes,Democrat,Other,Republican,Green,Libertarian,pct_dem,pct_rep,pct_other,pct_green,pct_libertarian,leading_party,poor_fair_health,adult_smoking,adult_obesity,poor_physical_health_days,poor_mental_health_days,excessive_drinking,pct_below_18,pct_above_65,pct_nonhispanic_black,pct_native_american,pct_hispanic,pct_females,pct_nonproficient_english,diabetes_prevalence,physical_inactivity,pct_pacific_islander,pct_asian,pct_nonhispanic_white,severe_housing_issues,food_insecurity,social_associations,insufficient_sleep,frequent_physical_distress,frequent_mental_distress,homeownership,urban_rural_desc,pct_covid_deaths,never,rarely,sometimes,frequently,always,pct_less_than_high_school,pct_high_school_diploma,pct_college_associates,pct_bachelors_or_higher,unemployment_rate,median_household_income,log_poverty_rating,pct_voters,log_population,log_traffic_volume
Alabama,Mobile,1097,183164,79474,2447,101243,NA,NA,0.43389530693804457,0.5527450809110961,0.013359612150859339,NA,NA,Republican,0.223990914,0.1936996915,0.363,4.5277243358,5.154593676,0.151932981,0.2337386437,0.1620298871,0.3574561881,0.0093895692,0.0305686671,0.5236890252,0.0073718693,0.14,0.306,4.326211e-4,0.0206594692,0.5672169897,0.1661804745,0.179,11.66793492,0.3729141239,0.1441975759,0.1558144539,0.648908112,Medium metro,0.13463985747009416,0.077,0.07,0.102,0.244,0.506,13.5,34,29.3,23.2,7.9,49492,4.856027654742924,0.4415622611852684,5.617848170590519,2.4024739974093468
Alabama,Montgomery,1101,99139,64529,1299,33311,NA,NA,0.6508941990538537,0.3360029857069367,0.013102815239209595,NA,NA,Democrat,0.2387508622,0.1968315291,0.377,5.0396193448,4.6665803568,0.1385100674,0.2337584104,0.1513666987,0.5854546582,0.0033663621,0.0351563365,0.5281689205,0.0143980418,0.139,0.287,9.523261e-4,0.0319051395,0.3328844851,0.1830416482,0.207,15.045489442,0.3711891253,0.154186848,0.1494974453,0.5858073134,Medium metro,0.17343546755311462,0.056,0.095,0.123,0.212,0.513,13.3,25,28.4,33.4,7.8,52711,4.534888758228809,0.43300837722861363,5.359748235383928,2.5551717087305983
Alabama,Morgan,1103,53722,13234,824,39664,NA,NA,0.24634228062990954,0.7383194966680318,0.015338222702058747,NA,NA,Republican,0.2055428234,0.1885570615,0.324,4.5578163775,4.6675274369,0.135503695,0.2281319014,0.1746844797,0.1265943958,0.0110085734,0.0845334162,0.5072424825,0.0209524999,0.127,0.266,0.0015282688,0.0070199599,0.7533525347,0.1344091844,0.129,12.540187514,0.3751680578,0.1373709445,0.1441293756,0.7213775577,Small metro,0.11979345955249569,0.078,0.077,0.082,0.304,0.459,15.9,30.4,31.3,22.4,4.5,54355,4.208064948147398,0.4352743860445143,5.091389060898028,2.0914352230602318
Alabama,St. Clair,1115,44441,7744,531,36166,NA,NA,0.1742535046466101,0.8137980693503747,0.011948426003015234,NA,NA,Republican,0.1927257125,0.1833530128,0.366,4.5378955295,4.6043761162,0.1514834421,0.2269252452,0.166174315,0.0932574135,0.0035967978,0.0250761078,0.5035855226,0.0047645159,0.138,0.307,7.554403e-4,0.0089074304,0.8560153343,0.1055607917,0.117,8.6168777424,0.3663076878,0.1332755638,0.1387561746,0.7894131543,Large fringe metro,0.090311004784689,0.027,0.134,0.144,0.2,0.495,15.4,35.6,32.9,16.1,4.9,65403,3.9903388547876015,0.4878105002030669,4.959532678421886,1.6903964674039398
Alabama,Shelby,1117,114950,33268,1982,79700,NA,NA,0.28941278816876903,0.6933449325793823,0.01724227925184863,NA,NA,Republican,0.1648943997,0.1556115747,0.35,3.9793228093,4.1430652633,0.1704965513,0.2347860756,0.1533886244,0.1289109765,0.0039451664,0.0577867199,0.5166128128,0.015833086,0.105,0.25,5.794898e-4,0.0225815574,0.7753109542,0.1055438504,0.093,11.142061281,0.3670310007,0.1172232451,0.1248584969,0.7967265856,Large fringe metro,0.088093599449415,0.022,0.075,0.118,0.24,0.545,7.3,19.8,29.9,42.9,3.9,77801,4.128011332575975,0.5154153813042542,5.348351600746471,2.054606808330945
Alabama,Talladega,1121,35663,13138,290,22235,NA,NA,0.3683930123657572,0.623475310545944,0.008131677088298797,NA,NA,Republican,0.2319712431,0.2315986226,0.388,4.8202090037,4.9750953639,0.1393203335,0.2119306509,0.1800120259,0.32567520170000003,0.0040837801,0.0235882147,0.5167109285,0.004956467,0.163,0.349,2.755925e-4,0.0065766398,0.62496868270000006,0.131754609,0.172,12.364953475,0.4218156803,0.1459414673,0.1553129034,0.7129620785,Micropolitan,0.1166407465007776,0.113,0.15,0.208,0.169,0.361,19.7,33.7,31.6,15,7,47719,4.124699808932117,0.43412579581005245,4.91460228113535,1.8405097436793127
Alabama,Tallapoosa,1123,20991,5859,169,14963,NA,NA,0.2791196226954409,0.7128293077985803,0.008051069505978753,NA,NA,Republican,0.2284730675,0.1818006718,0.36,4.7777431934,4.9791423992,0.1318244811,0.2066572833,0.215596217,0.2677976146,0.0042719214,0.0235079142,0.5152233499,0.0023942746,0.159,0.3,5.926365e-4,0.00619799,0.6878040349,0.170746634,0.166,14.011454979,0.4119439254,0.1451525338,0.1530771513,0.7284776265,Noncore,0.1256544502617801,0.067,0.095,0.136,0.296,0.406,19.3,32.7,29.5,18.4,6.9,47100,3.8021577531869615,0.5081213236184067,4.616065707908696,1.6436899528802071
Alabama,Tuscaloosa,1125,90172,37765,1290,51117,NA,NA,0.41881071729583463,0.566883289712993,0.014305992991172425,NA,NA,Republican,0.2026232998,0.178726324,0.346,4.5040628826,5.0443285927,0.1605198808,0.2094719761,0.1327981772,0.3184466112,0.0033459224,0.0388442925,0.5185078813,0.0094240838,0.119,0.3,6.605684e-4,0.0162461527,0.6122032827,0.1705706985,0.164,11.06774906,0.3790466333,0.138765712,0.15107115770000001,0.6315091394,Small metro,0.16611489776046737,0.041,0.036,0.144,0.247,0.532,11.7,29.9,27.7,30.7,6.6,52307,4.508206402759144,0.39717049278528516,5.356094726628063,2.3616402622239323
Alabama,Walker,1127,31170,4834,334,26002,NA,NA,0.15508501764517163,0.8341995508501765,0.010715431504651908,NA,NA,Republican,0.2437171888,0.2268098456,0.396,5.2099012127,5.3784295595,0.1383630308,0.2219867841,0.193231938,0.0606331717,0.0055720362,0.0256470625,0.5127999874,0.006148049,0.142,0.357,0.0010830155,0.0060586084,0.8892341982,0.1226433816,0.146,14.674201505,0.3947672409,0.1573529864,0.1626208801,0.7607045854,Large fringe metro,0.13437796771130103,0.09,0.081,0.145,0.256,0.429,18.2,37.5,33,11.3,5.8,45991,4.034909073367748,0.47702855743625844,4.815192423308544,1.4410820695231348
Alaska,District 20,2020,7497,4881,27,2383,53,153,0.6510604241696679,0.31786047752434304,0.003601440576230492,0.007069494464452448,0.02040816326530612,Democrat,0.1499110713,0.1504143203,0.318,3.5030847707,3.2314159507,0.214687602,0.2446988043,0.1109049249,0.0544800335,0.0887191378,0.0929793029,0.4910303288,0.0240863727,0.078,0.176,0.0268472721,0.1009062283,0.5731637042,0.1621891969,0.121,11.312832081,0.2973926991,0.1032867486,0.0999189961,0.6085670835,Medium metro,0.10890671169269735,0.042,0.05,0.049,0.196,0.663,6.1,23.4,34.4,36.1,7.4,82512,4.425469006220507,0.025741037675924557,5.46426146059148,2.6651794040107304
